Year,Blades.Retired.Per.Year
2020,3622
2021,8998
2022,4756
2023,6832
2024,4360
2025,4959
2026,4521
2027,9600
2028,15144
2029,17337
2030,8886
2031,10497
2032,20145
2033,1800
2034,7527
2035,12903
2036,11430
2037,9138
2038,9471
2039,13908
2040,7237
2041,4788
2042,2542
2043,2559
2044,2574
2045,3207
2046,3792
2047,3917
2048,4037
2049,6317
2050,8453
